book_no,charge_no,statute,description,level,degree
ASO18JBN007609,#8,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN007609,#9,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO18JBN007609,#10,812.019.2,STOLEN PROP-DEAL IN: ORGANIZED DEALING TRAFFIC STOLEN PROP,F,1st
ASO18JBN007609,#11,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO17JBN000126,#1,806.13.1b3,DAMAGE PROP-CRIM MISCH: 1000 DOLS OR MORE,F,3rd
ASO17JBN000126,#2,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO19JBN001452,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001115,#1,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001410,#1,322.34.2b,MOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP 2ND OFF,M,1st
ASO18JBN005773,#1,316.193.3c1,TRAFFIC OFFENSE: DUI AND DAMAGE PROPERTY,M,1st
ASO18JBN005773,#2,316.193.3c2,TRAFFIC OFFENSE: DUI AND SERIOUS BODILY INJURY TO ANOTHER,F,3rd
ASO19JBN000486,#1,817.611.2a,PASS COUNTERFEITED: TRAFFIC POSS 5 TO 14 COUNTERFEIT CREDIT CARDS,F,2nd
ASO19JBN000486,#2,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO19JBN000486,#3,817.568.2b,FRAUD-IMPERSON: USE ID OF 10-20 OTHERS WO CONSENT,F,2nd
ASO19JBN000486,#4,817.034.4a3,FRAUD-SWINDLE: OBTAIN PROPERTY UNDER 20K DOLS,F,3rd
ASO19JBN001278,#1,777.7777.,NON-CHARGEABLE OFFENSE: INFORMATION PURPOSES ONLY,F,3rd
ASO18JBN007028,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN008012,#1,322.34.5,NONMOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP HABITUAL OFFENDER,F,3rd
ASO18JBN008012,#2,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO18JBN008012,#3,901.36.1,FRAUD-IMPERSON: FALSE ID GIVEN TO LEO,M,1st
ASO19JBN001112,#1,812.014.2c6,VEH THEFT: GRAND THEFT OF MOTOR VEHICLE,F,3rd
ASO19JBN001013,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO17JBN006071,#1,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO17JBN006071,#2,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO17JBN006071,#3,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO17JBN006071,#4,893.1351.2,DRUGS-TRAFFIC: POSSESS STRUCTURE VEH KNOW TRAFFIC DRUGS,F,2nd
ASO17JBN006071,#5,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO17JBN006071,#6,893.13.2a1,COCAINE: PURCHASE SCHEDULE II,F,2nd
ASO17JBN006071,#7,893.13.1c1,COCAINE-POSSESS: WIT SELL ETC WI 1000 FT SPECIFIED AREA SCH II,F,1st
ASO17JBN006071,#8,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO17JBN006071,#9,896.101.5a,FRAUD: MONEY LAUNDER TRANS OVER 300 LESS 20K DOLS,F,3rd
ASO17JBN006071,#10,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO18JBN006228,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO18JBN007349,#1,800.03,INDECENT EXPOSURE: EXPOSURE OF SEXUAL ORGANS,M,1st
ASO18JBN007349,#2,800.04.7a,LEWD LASCV BEHAVIOR: EXHIBITION OFF LESS 18 YOA VICTIM LESS 16 YOA,F,3rd
ASO19JBN000288,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000579,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO18JBN005978,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO18JBN005978,#2,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO18JBN006966,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN001227,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO19JBN000378,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN000378,#2,810.02.3b,BURGL: OF UNOCCUPIED DWELLING; UNARMED; NO ASSLT/BATT,F,2nd
ASO19JBN000378,#3,810.02.3d,BURGL: OF OCCUPIED CONVEYANCE AND UNARMED,F,2nd
ASO19JBN001560,#1,784.03.1a2,BATTERY: CAUSE BODILY HARM,M,1st
ASO18JBN007234,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN007711,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000901,#1,810.02.3b,BURGL: UNOCCUPIED DWELLING UNARMED,F,2nd
ASO19JBN000518,#1,784.045.1a2,AGGRAV BATTERY: PERSON USES A DEADLY WEAPON,F,2nd
ASO19JBN000518,#2,812.13.2b,ROBBERY: WITH WEAPON,F,1st
ASO18JBN004566,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001702,#1,322.34.2,MOVING TRAFFIC VIOL: KNOWINGLY DRIVE WHILE LIC SUSPENDED REVOKED,M,2nd
ASO19JBN001702,#2,316.061.1,HIT AND RUN: LEAVE SCENE OF CRASH INVOLVE DAMAGE TO PROP,M,2nd
ASO19JBN001465,#1,794.011.8b,SEX ASSLT: BY CUSTODIAN SEX BATT VICT 12 YOA UNDER 18 YOA,F,1st
ASO19JBN001465,#2,794.011.8b,SEX ASSLT: BY CUSTODIAN SEX BATT VICT 12 YOA UNDER 18 YOA,F,1st
ASO18JBN008019,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001186,#1,943.0435.14a,SEX OFFENDER VIOLATION: FAIL TO REGISTER AS REQUIRED,F,3rd
ASO19JBN001186,#2,943.0435.4b,SEX OFFENDER VIOLATION: FAIL TO REPORT VACATING RESIDENCE WI 48 HRS,F,3rd
ASO19JBN001504,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001504,#2,800.04.5b,LEWD LASCV BEHAVIOR: MOLEST VIC LESS 12YOA OFFENDER 18 YOA OR OLDER,F,L
ASO18JBN008000,#1,322.03.5,MOVING TRAFFIC VIOL: DRIVE WITH EXPIRED LIC FOR MORE THAN 6 MOS,M,2nd
ASO19JBN001144,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000060,#1,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO19JBN000267,#1,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN000267,#2,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN000267,#3,893.135.1f1,AMPHETAMINE-TRAFFIC: OR METHAMPHETAMINE 14 GRAMS OR OVER,F,1st
ASO19JBN000267,#4,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001366,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN000599,#1,322.34.5,NONMOVING TRAFFIC VIOL: DRIVE WHILE LIC SUSP HABITUAL OFFENDER,F,3rd
ASO18JBN006232,#1,810.02.4a,BURGL: UNOCCUPIED STRUCTURE UNARMED,F,3rd
ASO18JBN006232,#2,812.014.2d,LARC: GRAND THEFT OF DWELLING 100 LESS 300 DOLS,F,3rd
ASO19JBN001229,#1,812.014.2e,LARC: PETIT THEFT 1ST DEGREE 100 LESS 300 DOLS,M,1st
ASO19JBN001229,#2,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO18JBN007686,#1,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO16JBN003152,#1,790.19,WEAPON OFFENSE: MISSILE INTO DWELLING VEH BUILDING OR AIRCRAFT,F,2nd
ASO16JBN003152,#2,918.13,EVIDENCE-DESTROYING: TAMPER WITH OR FABRICATE PHYSICAL,F,3rd
ASO18JBN007648,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000533,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000533,#2,539.001.8b8a,FRAUD: FALSE OWNER INFO PAWN ITEMS LESS THAN 300 DOLS,F,3rd
ASO18JBN006267,#1,893.13.1a1,SYNTH NARCOTIC-POSSESS: WIT SELL MFG OR DELIVER SCHEDULE I OR II,F,2nd
ASO18JBN006267,#2,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO18JBN006267,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO18JBN007018,#1,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO18JBN004363,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO18JBN006168,#1,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#2,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#3,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#4,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#5,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#6,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO18JBN006168,#7,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#8,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#9,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#10,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#11,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO18JBN006168,#12,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#13,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#14,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006168,#15,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO17JBN004621,#1,790.19,WEAPON OFFENSE: MISSILE INTO DWELLING VEH BUILDING OR AIRCRAFT,F,2nd
ASO17JBN004621,#2,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO17JBN004621,#3,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO17JBN004621,#4,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO18JBN004567,#1,794.011.5a,SEX ASSLT: BY 18Y OLDR VIC 12Y UND 18Y NO PHY FORC VIOL,F,1st
ASO18JBN004567,#2,794.011.4a,SEX ASSLT: SEX BAT 12 YR LESS 18 YR BY PERSON 18 YR OR OLD,F,1st
ASO19JBN001631,#1,941.13,OUT-OF-STATE-FUG: FUGITIVE WARRANT OF EXTRADITION,N,N
ASO19JBN000393,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO19JBN000393,#2,812.014.2c1,LARC: GRAND THEFT 300 LESS THAN 5K DOLS,F,3rd
ASO19JBN000393,#3,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO19JBN000393,#4,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO19JBN000393,#5,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO19JBN001344,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN007682,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO18JBN007682,#2,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001684,#1,810.02.2a,BURGL: WITH ASSAULT OR BATTERY,F,1st
ASO19JBN001684,#2,914.22.1,OBSTRUCTING JUSTICE: INTIMIDATE THREATEN ETC VICT WITNESS INFORMANT,F,3rd
ASO19JBN001684,#3,784.03.2,BATTERY: 2ND OR SUBSQ OFF,F,3rd
ASO19JBN001684,#4,784.03.2,BATTERY: 2ND OR SUBSQ OFF,F,3rd
ASO18JBN005992,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001607,#1,322.03.1,MOVING TRAFFIC VIOL: OPERATE MOTOR VEHICLE WO VALID LICENSE,M,2nd
ASO19JBN001202,#1,794.05.1,SEX ASSLT: BY 24 YOA OLDER SEX BATT VICTIM 16 OR 17 YOA,F,2nd
ASO19JBN001202,#2,934.215,PUBLIC ORDER CRIMES: USE 2 WAY COMM DEVICE TO FACIL FELONY,F,3rd
ASO19JBN001449,#1,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001449,#2,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO18JBN006828,#1,901.36.1,FRAUD-IMPERSON: FALSE ID GIVEN TO LEO,M,1st
ASO18JBN006828,#2,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO18JBN006828,#3,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO18JBN006828,#4,790.23.1e,POSSESSION OF WEAPON: OR AMMO BY OTHER STATE FELON,F,2nd
ASO18JBN006828,#5,322.34.2,MOVING TRAFFIC VIOL: KNOWINGLY DRIVE WHILE LIC SUSPENDED REVOKED,M,2nd
ASO18JBN006828,#6,790.01.2,CARRYING CONCEALED WEAPON: UNLICENSED FIREARM,F,3rd
ASO18JBN004807,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN005178,#1,893.135.1a,MARIJUANA-TRAFFIC: EXCESS OF 25 LBS OR 300 PLANTS OR MORE,F,1st
ASO18JBN007530,#1,810.02.3b,BURGL: OF UNOCCUPIED DWELLING; UNARMED; NO ASSLT/BATT,F,2nd
ASO18JBN007530,#2,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO18JBN007530,#3,837.055.1,OBSTRUCT CRIMINAL INVEST: FALSE INFO TO LEO RE MISSING PERSON OR FELONY,M,1st
ASO19JBN001374,#1,843.02,RESIST OFFICER: OBSTRUCT WO VIOLENCE,M,1st
ASO19JBN001374,#2,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO19JBN001700,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
ASO19JBN001700,#2,810.09.2b,TRESPASSING: FAIL TO LEAVE PROPERTY UPON ORDER BY OWNER,M,1st
ASO18JBN005011,#1,812.13.2c,ROBBERY: NO FIREARM OR WEAPON,F,2nd
ASO19JBN001614,#1,943.0435.14a,SEX OFFENDER VIOLATION: FAIL TO REGISTER AS REQUIRED,F,3rd
ASO19JBN000560,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001220,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001464,#1,784.03.2,BATTERY: 2ND OR SUBSQ OFF,F,3rd
ASO19JBN001464,#2,787.02.1a,KIDNAP-FALSE IMPRISONMENT: ADULT,F,3rd
ASO19JBN001464,#3,784.03.1a1,BATTERY: TOUCH OR STRIKE,M,1st
ASO19JBN001464,#4,787.02.1a,KIDNAP-FALSE IMPRISONMENT: ADULT,F,3rd
ASO19JBN000020,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000030,#1,903.0471.,CONDIT RELEASE VIOLATION: VIOLATION OF CONDITION OF PRETRIAL RELEASE,N,N
ASO19JBN001472,#1,784.045.1b,AGGRAV BATTERY: OFFENDR KNEW/SHOULD HAVE KNOWN VICT PREGNANT,F,2nd
ASO19JBN001015,#1,918.13,EVIDENCE-DESTROYING: TAMPER WITH OR FABRICATE PHYSICAL,F,3rd
ASO19JBN001015,#2,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001015,#3,322.34.2,MOVING TRAFFIC VIOL: KNOWINGLY DRIVE WHILE LIC SUSPENDED REVOKED,M,2nd
ASO19JBN000670,#1,806.13.1b3,DAMAGE PROP-CRIM MISCH: 1000 DOLS OR MORE,F,3rd
ASO19JBN001645,#1,365.172.14,PUBLIC ORDER CRIMES: USE 911 OR E911 FALSE ALARM OR INFO,M,1st
ASO19JBN001645,#2,810.08.2b,TRESPASSING: OCCUPIED STRUCTURE OR CONVEYANCE,M,1st
ASO19JBN000640,#1,800.04.7a,LEWD LASCV BEHAVIOR: EXHIBITION OFF LESS 18 YOA VICTIM LESS 16 YOA,F,3rd
ASO18JBN007540,#1,812.014.2d,LARC: GRAND THEFT OF DWELLING 100 LESS 300 DOLS,F,3rd
ASO18JBN006145,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO18JBN007876,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000680,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001281,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000383,#1,810.02.2a,BURGL: WITH ASSAULT OR BATTERY,F,1st
ASO19JBN000383,#2,784.045.2,AGGRAV BATTERY: COMMIT AGGRAVATED BATTERY,F,2nd
ASO19JBN000383,#3,806.13.1b2,DAMAGE PROP-CRIM MISCH: OVER 200 DOLS UNDER 1000 DOLS,M,1st
ASO18JBN006825,#1,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN006825,#2,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN006825,#3,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN006825,#4,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN006825,#5,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN006825,#6,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN006825,#7,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN006825,#8,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO18JBN006825,#9,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006825,#10,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006825,#11,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN006825,#12,812.014.2e,LARC: PETIT THEFT 1ST DEGREE 100 LESS 300 DOLS,M,1st
ASO18JBN006825,#13,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO18JBN006825,#14,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO19JBN001629,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001650,#1,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN001650,#2,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN001402,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000642,#1,322.34.2,MOVING TRAFFIC VIOL: KNOWINGLY DRIVE WHILE LIC SUSPENDED REVOKED,M,2nd
ASO18JBN006169,#1,810.02.2b,BURGL: DWELLING STRUCTURE OR CONVEYANCE ARMED,F,1st
ASO18JBN006169,#2,812.014.2c5,LARC: GRAND THEFT OF FIREARM,F,3rd
ASO18JBN007871,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN000667,#1,316.193.1,DUI-UNLAW BLD ALCH: DUI ALCOHOL OR DRUGS - RENUMBERED. SEE REC #8513,M,N
ASO19JBN000667,#2,316.1935.1,FLEE/ELUDE POLICE: FAIL TO OBEY LEO ORDER TO STOP,F,3rd
ASO19JBN000667,#3,322.34.2,MOVING TRAFFIC VIOL: KNOWINGLY DRIVE WHILE LIC SUSPENDED REVOKED,M,2nd
ASO19JBN000667,#4,893.135.5,DRUGS-TRAFFIC: IN CONTROLLED SUBSTANCE,F,1st
ASO19JBN000667,#5,893.147.1,DRUG EQUIP-POSSESS: AND OR USE,M,1st
ASO19JBN001525,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO16JBN003024,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO18JBN000705,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#2,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#3,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#4,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#5,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#6,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#7,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#8,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#9,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#10,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#11,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000705,#12,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN000667,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007054,#1,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007054,#2,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007054,#3,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007054,#4,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007054,#5,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007054,#6,782.04.1a1,HOMICIDE: MURDER FIRST DEGREE PREMEDITATED,F,C
ASO18JBN007054,#7,790.23.1a,POSSESSION OF WEAPON: OR AMMO BY CONVICTED FLA FELON,F,2nd
ASO19JBN000826,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000719,#1,893.13.1a1,DRUGS-SELL: SELL METHAMPHETAMINE,F,2nd
ASO19JBN000719,#2,893.13.1a2,MARIJUANA-SELL: SCHEDULE I,F,3rd
ASO19JBN000719,#3,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000719,#4,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN000719,#5,893.13.1a1,DRUGS-SELL: SELL METHAMPHETAMINE,F,2nd
ASO19JBN000719,#6,893.13.1a2,MARIJUANA-SELL: SCHEDULE I,F,3rd
ASO19JBN000719,#7,893.13.6a,DRUGS-POSSESS: CNTRL SUB WO PRESCRIPTION,F,3rd
ASO19JBN000719,#8,893.13.6b,MARIJUANA-POSSESS: NOT MORE THAN 20 GRAMS,M,1st
ASO19JBN001509,#1,810.02.4b,BURGL: UNOCCUPIED CONVEYANCE UNARMED,F,3rd
ASO19JBN001509,#2,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO18JBN007978,#1,316.193.3c1,TRAFFIC OFFENSE: DUI AND DAMAGE PROPERTY,M,1st
ASO18JBN007978,#2,316.193.3c2,TRAFFIC OFFENSE: DUI AND SERIOUS BODILY INJURY TO ANOTHER,F,3rd
ASO18JBN007978,#3,320.261,MOVING TRAFFIC VIOL: ATTACH REGISTRATION LICENSE PLATE NOT ASSIGNED,M,2nd
ASO18JBN002109,#1,784.082.3,BATTERY: BY PERSON DETAINED IN PRISON OR JAIL FACILITY,F,3rd
ASO18JBN006904,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN001552,#1,322.34.2,MOVING TRAFFIC VIOL: KNOWINGLY DRIVE WHILE LIC SUSPENDED REVOKED,M,2nd
ASO18JBN006794,#1,901.31,FAILURE TO APPEAR: WRITTEN PROMISE TO APPEAR,N,N
ASO19JBN001547,#1,948.06,PROB VIOLATION: OR COMMTY CONT RE UNK/FEL/MISD/JUV NON CRITRIA,N,N
ASO19JBN000566,#1,812.014.3a,LARC: PETIT THEFT 2ND DEGREE 1ST OFFENSE,M,2nd
ASO18JBN005883,#1,812.014.3c,LARC: PETIT THEFT 2ND DEGREE 3RD SUBSQ OFFENSE,F,3rd
